<DATE>;<TIME>;GAZPROM;BRENT;RTS;USD_RUB
15.09.2020;10:00:00;18075;40.2;121470;76036
15.09.2020;11:00:00;18229;40.53;122200;75934
15.09.2020;12:00:00;18256;40.9;122500;75870
15.09.2020;13:00:00;18330;40.9;122910;75738
15.09.2020;14:00:00;18375;40.69;123070;75758
15.09.2020;15:00:00;18393;40.69;123390;75727
15.09.2020;16:00:00;18442;40.52;123350;75853
15.09.2020;17:00:00;18409;40.51;123430;75744
15.09.2020;18:00:00;18476;40.9;123710;75661
15.09.2020;19:00:00;18511;41.2;123820;75619
15.09.2020;20:00:00;18508;41.24;123720;75663
15.09.2020;21:00:00;18499;41.3;123770;75645
15.09.2020;22:00:00;18457;41.18;123420;75722
15.09.2020;23:00:00;18440;41.26;123650;75736
16.09.2020;10:00:00;18501;41.99;123740;75701
16.09.2020;11:00:00;18434;41.97;123610;75616
16.09.2020;12:00:00;18375;41.98;123460;75456
16.09.2020;13:00:00;18393;41.99;123480;75448
16.09.2020;14:00:00;18390;41.99;123340;75545
16.09.2020;15:00:00;18414;41.95;122920;75700
16.09.2020;16:00:00;18430;42.1;122950;75683
16.09.2020;17:00:00;18564;42.2;123110;75683
16.09.2020;18:00:00;18590;42.53;123650;75580
16.09.2020;19:00:00;18546;42.78;123470;75656
16.09.2020;20:00:00;18497;42.67;123380;75652
16.09.2020;21:00:00;18551;42.81;123550;75698
16.09.2020;22:00:00;18550;42.89;123240;75808
16.09.2020;23:00:00;18550;42.92;123200;75722
17.09.2020;10:00:00;18406;42.49;122300;75935
17.09.2020;11:00:00;18308;42.48;122120;75933
17.09.2020;12:00:00;18276;42.73;122290;75763
17.09.2020;13:00:00;18309;42.78;122200;75778
17.09.2020;14:00:00;18373;42.77;122130;75823
17.09.2020;15:00:00;18486;42.56;122080;76009
17.09.2020;16:00:00;18559;42.86;122380;76024
17.09.2020;17:00:00;18547;43.51;122610;75958
17.09.2020;18:00:00;18643;43.83;122750;76012
17.09.2020;19:00:00;18586;43.88;122730;75928
17.09.2020;20:00:00;18595;43.85;122640;75989
17.09.2020;21:00:00;18591;43.8;122700;75958
17.09.2020;22:00:00;18582;43.87;122730;75854
17.09.2020;23:00:00;18618;43.88;122820;75890
18.09.2020;10:00:00;18481;43.94;122390;75734
18.09.2020;11:00:00;18459;43.82;122350;75753
18.09.2020;12:00:00;18524;43.94;122780;75758
18.09.2020;13:00:00;18575;43.98;122680;75762
18.09.2020;14:00:00;18514;43.52;122160;75926
18.09.2020;15:00:00;18576;43.55;122120;76043
18.09.2020;16:00:00;18629;43.86;121790;76268
18.09.2020;17:00:00;18543;43.94;121500;76189
18.09.2020;18:00:00;18390;43.74;121040;76386
18.09.2020;19:00:00;18350;43.65;120740;76258
18.09.2020;20:00:00;18358;43.44;120630;76268
18.09.2020;21:00:00;18358;43.59;120720;76316
18.09.2020;22:00:00;18370;43.52;120460;76432
18.09.2020;23:00:00;18375;43.58;120640;76449
21.09.2020;10:00:00;18123;42.92;118930;76781
21.09.2020;11:00:00;18037;42.77;117870;77060
21.09.2020;12:00:00;17975;42.81;117780;77028
21.09.2020;13:00:00;17987;42.86;117940;76870
21.09.2020;14:00:00;17966;42.91;118070;76912
21.09.2020;15:00:00;17877;42.84;117320;76945
21.09.2020;16:00:00;17873;42.45;117200;77022
21.09.2020;17:00:00;17736;42.03;116220;77101
21.09.2020;18:00:00;17773;41.7;116350;77100
21.09.2020;19:00:00;17853;42.05;116720;77035
21.09.2020;20:00:00;17863;41.89;116910;76974
21.09.2020;21:00:00;17851;42.11;117050;76959
21.09.2020;22:00:00;17927;42.35;117380;76982
21.09.2020;23:00:00;17919;42.33;117700;76804
22.09.2020;10:00:00;17947;42.15;117370;76982
22.09.2020;11:00:00;18204;42.46;118140;76907
22.09.2020;12:00:00;18127;42.55;118320;76692
22.09.2020;13:00:00;18149;42.37;118560;76550
22.09.2020;14:00:00;18159;42.16;118540;76607
22.09.2020;15:00:00;18176;42.35;118660;76518
22.09.2020;16:00:00;18187;42.19;118570;76603
22.09.2020;17:00:00;18110;42.04;117430;76905
22.09.2020;18:00:00;18060;42.26;117580;76853
22.09.2020;19:00:00;18030;41.87;117770;76866
22.09.2020;20:00:00;18063;42.11;118120;76805
22.09.2020;21:00:00;18061;42.15;118490;76835
22.09.2020;22:00:00;18073;42.23;118940;76727
22.09.2020;23:00:00;18106;42.21;119570;76780
23.09.2020;10:00:00;18191;42.15;119790;76992
23.09.2020;11:00:00;18014;42.46;120260;76872
23.09.2020;12:00:00;18043;42.5;119890;77034
23.09.2020;13:00:00;18013;42.37;119550;77218
23.09.2020;14:00:00;18050;42.28;119290;77495
23.09.2020;15:00:00;18018;42.32;119290;77560
23.09.2020;16:00:00;17944;42.42;118830;77528
23.09.2020;17:00:00;17986;42.78;118170;77553
23.09.2020;18:00:00;17954;42.44;117710;77488
23.09.2020;19:00:00;18004;42.51;118350;77417
23.09.2020;20:00:00;17962;42.3;117550;77574
23.09.2020;21:00:00;17933;42.23;117130;77670
23.09.2020;22:00:00;17934;42;116770;77780
23.09.2020;23:00:00;17895;41.98;116860;77748
24.09.2020;10:00:00;17866;42.07;116580;77806
24.09.2020;11:00:00;17792;41.93;115630;77979
24.09.2020;12:00:00;17933;42.19;116300;77923
24.09.2020;13:00:00;17994;42.39;117210;77711
24.09.2020;14:00:00;17936;42.32;116520;77920
24.09.2020;15:00:00;17842;42;115960;78068
24.09.2020;16:00:00;17913;42.12;116660;77945
24.09.2020;17:00:00;17948;42.17;116680;77982
24.09.2020;18:00:00;17990;42.15;117190;77840
24.09.2020;19:00:00;17675;42.14;117150;77699
24.09.2020;20:00:00;17641;42.48;117280;77671
24.09.2020;21:00:00;17606;42.29;116780;77776
24.09.2020;22:00:00;17641;42.37;116690;77818
24.09.2020;23:00:00;17619;42.36;116700;77805
25.09.2020;10:00:00;17455;42.63;116910;77463
25.09.2020;11:00:00;17514;42.75;116630;77671
25.09.2020;12:00:00;17285;42.55;115630;77999
25.09.2020;13:00:00;17271;42.18;114570;78411
25.09.2020;14:00:00;17309;42.27;115150;78219
25.09.2020;15:00:00;17266;42.42;115060;78444
25.09.2020;16:00:00;17254;42.26;114800;78863
25.09.2020;17:00:00;17218;42.3;114990;78930
25.09.2020;18:00:00;17152;42.16;114690;78940
25.09.2020;19:00:00;17411;42.41;114870;79044
25.09.2020;20:00:00;17495;42.41;115200;78877
25.09.2020;21:00:00;17509;42.42;115480;78852
25.09.2020;22:00:00;17542;42.34;115450;78910
25.09.2020;23:00:00;17535;42.33;115430;78862
28.09.2020;10:00:00;17701;42.15;115710;79255
28.09.2020;11:00:00;17552;42.11;115170;79389
28.09.2020;12:00:00;17491;42.15;115200;79535
28.09.2020;13:00:00;17491;42.59;115600;79439
28.09.2020;14:00:00;17397;42.52;115570;79330
28.09.2020;15:00:00;17434;42.85;115750;79379
28.09.2020;16:00:00;17412;42.36;115290;79605
28.09.2020;17:00:00;17387;42.51;114650;79820
28.09.2020;18:00:00;17393;42.75;115140;79700
28.09.2020;19:00:00;17422;42.87;115090;79845
28.09.2020;20:00:00;17437;42.74;115120;79768
28.09.2020;21:00:00;17454;43.02;115330;79725
28.09.2020;22:00:00;17458;42.91;115330;79704
28.09.2020;23:00:00;17460;42.99;115520;79739
29.09.2020;10:00:00;17332;42.7;113830;80264
29.09.2020;11:00:00;17375;42.61;113370;80462
29.09.2020;12:00:00;17465;42.7;114310;80067
29.09.2020;13:00:00;17459;42.69;114810;79566
29.09.2020;14:00:00;17420;42.66;114780;79470
29.09.2020;15:00:00;17353;42.66;114790;79414
29.09.2020;16:00:00;17379;42.31;114920;79441
29.09.2020;17:00:00;17248;41.82;113870;79853
29.09.2020;18:00:00;17266;41.17;114240;79933
29.09.2020;19:00:00;17318;41.24;114610;79697
29.09.2020;20:00:00;17321;41.27;114760;79668
29.09.2020;21:00:00;17334;41.45;114920;79534
29.09.2020;22:00:00;17332;41.37;114810;79623
29.09.2020;23:00:00;17342;41.38;114620;79738
30.09.2020;10:00:00;17250;41.26;114360;79419
30.09.2020;11:00:00;17253;41.3;114930;79128
30.09.2020;12:00:00;17212;41.1;115120;78916
30.09.2020;13:00:00;17259;41.19;115420;78987
30.09.2020;14:00:00;17276;41.38;115340;79073
30.09.2020;15:00:00;17220;41.38;115600;78738
30.09.2020;16:00:00;17279;41.62;116380;78419
30.09.2020;17:00:00;17310;41.87;116630;78210
30.09.2020;18:00:00;17289;41.82;116400;78211
30.09.2020;19:00:00;17306;42.1;116620;78252
30.09.2020;20:00:00;17322;42.05;116630;78244
30.09.2020;21:00:00;17305;42.16;116250;78412
30.09.2020;22:00:00;17320;42.11;116400;78325
30.09.2020;23:00:00;17191;42.09;115990;78251
01.10.2020;10:00:00;17086;42.1;116490;77974
01.10.2020;11:00:00;16986;41.97;115850;78013
01.10.2020;12:00:00;17026;42.06;116340;77951
01.10.2020;13:00:00;17033;41.82;116440;77829
01.10.2020;14:00:00;17153;41.77;117020;77720
